FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,603121000,11,11,U,2825,111,92,452,1912236,0,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,603129000,11,11,U,23620,884,787,4263,17894160,0,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,804200000,11,33,KG,9,11,9,18,76538,0,15,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,804501000,11,33,KG,50,62,50,145,614427,0,93,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,804502000,11,33,KG,78,99,78,195,829158,0,165,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,810901010,11,33,KG,20,25,20,75,318907,0,63,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,810901030,11,33,KG,271,341,271,1031,4381779,0,791,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,810902000,11,33,KG,99,124,99,367,1561367,0,242,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,810903000,11,33,KG,81,98,81,277,1177404,0,16,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,810904000,11,33,KG,196,246,196,1008,4286107,0,627,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,810905000,11,33,KG,1771,2228,1771,7254,30844661,0,5189,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,810909010,11,33,KG,29,36,29,164,697343,0,118,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,810909020,11,33,KG,33,41,33,122,516629,0,72,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,901211000,11,33,KG,140,145,140,3177,13465131,0,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,1211909000,11,33,KG,30,33,30,45145,190572836,0,1921,200,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,7103912000,15,53,C/T,285,0,0,98500,417526725,0,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,7113190000,11,33,KG,0,0,0,61500,260689275,0,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,301110090,11,11,U,106196,2282,1847,28408,119702135,0,3088,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,4107110000,11,82,M2,10,14,11,620,2554414,0,39,0,7
2310,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,4202111000,11,11,U,270,371,285,9614,39617207,0,598,0,108
2310,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,4202210000,11,11,U,12,17,13,354,1456804,0,22,0,4
2310,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,4202911000,11,11,U,1,1,1,61,250534,0,4,0,1
2310,3,23,DEU,3,BOG,11,3,23,1,104,2,6,2,7007210000,11,11,U,32,142,108,150,637350,0,1000,50,0
2310,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,106190000,11,11,U,3,90,67,120,494474,0,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,9018500000,11,11,U,1,22,21,3710,16274509,0,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,9018909090,11,11,U,31,3,2,2410,10154151,0,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,9021399000,11,11,U,4,1,1,328,1381592,0,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,9021900000,11,11,U,27,2,2,3172,13366797,0,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,2,6,1,7007210000,11,11,U,8,371,264,3407,13811566,2597,1825,50,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,2,6,2,7007210000,11,11,U,24,619,480,1520,6377093,0,4913,108,0
2310,3,23,DEU,3,BOG,11,3,23,1,198,2,8,2,106131200,11,11,U,2,19,10,100,405376,0,0,0,0
2310,3,23,DEU,3,BOG,11,3,23,4,201,2,8,2,8415822000,11,11,U,2,122,110,5500,22662503,0,430,0,0
2310,3,23,DEU,3,BOG,11,3,573,1,198,1,6,1,603129000,11,11,U,37600,1499,1289,6812,28848854,6599,0,0,0
2310,3,23,DEU,3,BOG,11,3,573,1,198,1,6,2,603121000,11,11,U,11520,380,342,2074,8735040,0,0,0,0
2310,3,23,DEU,3,BOG,11,3,573,1,198,1,6,2,603129000,11,11,U,63680,2361,1976,11504,48459926,0,0,0,0
2310,3,23,DEU,3,BOG,11,5,245,1,198,1,6,1,603121000,11,11,U,4400,165,154,836,3552164,815,0,0,0
2310,3,23,DEU,3,BOG,11,5,245,1,198,1,6,1,603129000,11,11,U,8800,339,316,1672,7104328,1629,0,0,0
2310,3,23,DEU,3,BOG,11,5,245,1,198,1,8,1,603121000,11,11,U,5476,233,217,931,3921501,895,0,0,0
2310,3,23,DEU,3,BOG,11,5,245,1,198,1,8,1,603129000,11,11,U,16438,689,641,3464,14591258,3339,0,0,0
2310,3,23,DEU,3,BOG,11,5,245,1,198,1,8,1,603900000,11,11,U,2802,72,70,3966,16778345,3840,0,0,0
2310,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,8466930000,76,11,U,1,79,72,2402,9948709,0,190,0,163
2310,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,8504402000,76,11,U,1,12,11,362,1499115,0,29,0,25
2310,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,8543709000,76,11,U,1,89,80,2682,11107108,0,212,0,182
2310,3,23,DEU,3,BOG,11,5,245,1,198,2,8,2,3204170000,11,33,KG,50,52,50,435,1846499,0,699,0,0
2310,3,23,DEU,3,BOG,11,5,245,1,198,2,8,2,3902100000,11,33,KG,300,315,300,685,2908926,0,1101,0,0
2310,3,23,DEU,3,BOG,11,7,827,1,198,1,6,1,603129000,11,11,U,24480,1012,856,4892,20786108,4773,0,0,0
2310,3,23,DEU,3,BOG,11,7,827,1,198,1,6,2,603110000,11,11,U,2250,139,137,672,2842970,0,0,0,0
2310,3,23,DEU,3,BOG,11,7,827,1,198,1,8,1,603900000,11,11,U,26256,634,615,28492,120021960,25269,0,0,0
2310,3,23,DEU,3,BOG,11,8,618,1,198,1,6,1,603121000,11,11,U,23220,762,697,3200,13508873,3070,0,0,184
2310,3,23,DEU,3,BOG,11,8,618,1,198,1,6,1,603129000,11,11,U,70780,2738,2483,10801,45620438,10412,0,0,503
2310,3,23,DEU,3,BOG,11,8,618,1,198,1,8,2,603110000,11,11,U,1800,169,154,925,3918817,0,0,0,0
2310,3,23,DEU,3,BOG,11,9,149,1,198,1,8,2,804502000,11,33,KG,1550,1807,1550,10123,42949605,0,3865,0,0
2310,3,23,DEU,3,BOG,11,9,169,1,198,1,8,2,2617900000,27,33,KG,1,1,1,55000,222956800,0,0,0,0
2310,3,23,DEU,3,BOG,11,9,169,1,198,1,8,2,3926909090,11,11,U,2714,60,58,3215,14101533,0,880,32,0
2310,3,23,DEU,3,BOG,11,9,169,1,199,1,8,2,7103912000,15,53,C/T,125,0,0,9440,39906562,0,0,0,0
2310,3,23,DEU,3,BOG,11,9,249,1,198,1,8,1,603121000,11,11,U,7100,239,220,1278,5383575,1231,0,0,0
2310,3,23,DEU,3,BOG,11,9,249,1,198,1,8,1,603129000,11,11,U,41367,1497,1381,7450,31383378,7177,0,0,0
2310,3,23,DEU,3,BOG,11,9,249,1,198,1,8,1,7007210000,11,11,U,1,79,41,640,2717703,570,600,50,0
2310,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,810901010,11,33,KG,246,290,246,2082,8649214,0,0,0,0
2310,3,23,DEU,3,BOG,15,3,573,1,198,1,8,2,810905000,15,33,KG,7537,8692,7537,41130,174343901,0,0,0,0
2310,3,23,DEU,3,BOG,15,9,249,1,198,1,8,2,810901020,15,33,KG,1300,1589,1300,7800,33063030,0,0,0,0
2310,3,23,DEU,3,BOG,15,9,249,1,198,1,8,2,810901030,15,33,KG,2,2,2,1,4239,0,0,0,0
2310,3,23,DEU,3,BOG,15,9,249,1,198,1,8,2,810903000,15,33,KG,180,208,180,477,2021931,0,0,0,0
2310,3,23,DEU,3,BOG,15,9,249,1,198,1,8,2,810905000,15,33,KG,3420,4032,3420,18184,77078401,0,0,0,0
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,1,603129000,25,11,U,4800,154,149,624,2639901,611,0,0,0
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,804200000,25,33,KG,20,27,20,85,360152,0,0,0,0
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,804501000,25,33,KG,25,33,25,113,481099,0,0,0,0
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,804502000,25,33,KG,130,172,130,489,2080933,0,0,0,0
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,807190000,25,33,KG,26,35,26,113,480274,0,0,0,0
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,810901010,25,33,KG,10,12,10,4,16928,0,0,0,0
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,810902000,25,33,KG,13,17,13,158,670597,0,0,0,0
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,810903000,25,33,KG,216,278,216,809,3514385,0,0,0,0
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,810904000,25,33,KG,70,88,70,330,1419721,0,0,0,0
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,810905000,25,33,KG,1125,1477,1125,5885,25281881,0,0,0,0
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,810909020,25,33,KG,17,23,17,86,367381,0,0,0,0
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,4016930000,25,11,U,1000,0,0,122,514645,0,13,0,0
2310,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,8424909000,25,11,U,319,185,164,5783,24295641,0,637,0,0
2310,3,23,DEU,3,BOG,25,3,23,1,2,2,8,2,7010100000,25,11,U,253671,1079,737,1388,5812030,0,0,0,0
2310,3,23,DEU,3,BOG,25,3,253,1,198,1,5,1,603121000,25,11,U,2040,73,30,277,1169124,259,0,0,0
2310,3,23,DEU,3,BOG,25,3,253,1,198,1,5,1,603129000,25,11,U,2380,85,35,324,1363978,302,0,0,0
2310,3,23,DEU,3,BOG,25,3,573,1,198,1,8,1,603121000,25,11,U,40200,1386,1174,6518,27682160,6482,0,0,0
2310,3,23,DEU,3,BOG,25,3,573,1,198,1,8,1,603129000,25,11,U,230280,7659,6546,36884,156569128,35589,0,0,0
2310,3,23,DEU,3,BOG,25,3,573,1,198,2,8,2,603129000,25,11,U,180,7,5,27,118440,0,0,0,0
2310,3,23,DEU,3,BOG,25,5,245,1,198,1,8,1,603121000,25,11,U,4760,160,156,619,2617901,605,0,0,0
2310,3,23,DEU,3,BOG,25,5,245,1,198,1,8,1,603129000,25,11,U,2380,79,77,309,1308951,303,0,0,0
2310,3,23,DEU,3,BOG,25,8,618,1,198,1,8,1,603121000,25,11,U,13320,499,370,2131,9009414,2131,0,0,0
2310,3,23,DEU,3,BOG,25,8,618,1,198,1,8,1,603129000,25,11,U,91980,3238,2672,13691,57890366,13602,0,0,0
2310,3,23,DEU,3,BOG,25,8,618,1,198,1,8,1,603193000,25,11,U,8160,567,329,2448,10245904,2289,0,0,0
2310,3,23,DEU,3,BOG,25,9,169,4,201,2,8,2,8536491900,11,11,U,8,93,88,8800,37301880,0,698,7,150
2310,3,23,DEU,3,BOG,25,9,169,4,201,2,8,2,8536491900,25,11,U,2,18,17,2200,9325470,0,144,2,30
2310,3,23,DEU,3,BOG,25,9,249,1,198,1,8,2,810904000,25,33,KG,4857,5472,4857,39695,167215188,0,0,0,0
2310,3,23,DEU,3,BOG,25,9,249,1,198,2,8,2,602109000,25,11,U,834,4,3,8,35295,0,0,0,0
2310,3,23,DEU,3,BOG,50,3,23,1,199,1,8,2,301110090,50,11,U,32845,686,665,4647,18835796,0,4805,0,0
2310,3,23,DEU,3,BOG,68,3,23,1,198,1,8,2,2710191500,68,67,M3,3381,3361469,2939106,2458784,10373020843,0,0,0,0
2310,3,23,DEU,3,BOG,76,3,23,1,198,1,8,2,901119000,76,33,KG,560,583,560,19753,83595034,0,0,0,0
2310,3,23,DEU,3,BOG,76,3,23,1,198,1,8,2,2106904000,76,33,KG,2163,2294,2163,63864,280149128,0,5015,17,2793
2310,3,23,DEU,3,BOG,76,3,23,1,198,1,8,2,2918159000,76,33,KG,300,326,300,883,3638920,0,1226,0,0
2310,3,26,ARM,3,BOG,5,9,169,1,198,2,8,2,603141000,5,11,U,60,11,9,0,494,0,0,0,0
2310,3,26,ARM,3,BOG,11,3,253,1,198,1,8,2,603193000,11,11,U,448,296,264,1469,6443126,0,0,0,0
2310,3,26,ARM,3,BOG,11,8,618,1,198,1,8,1,603129000,11,11,U,800,28,24,148,601003,146,0,0,0
2310,3,26,ARM,3,BOG,11,9,169,1,198,1,8,2,603121000,11,11,U,1540,60,55,246,1080873,0,0,0,0
2310,3,26,ARM,3,BOG,11,9,169,1,198,1,8,2,603129000,11,11,U,37690,1103,1010,5654,24799982,0,0,0,0
2310,3,26,ARM,3,BOG,11,9,169,1,198,1,8,2,603193000,11,11,U,10560,740,671,3270,14256982,0,0,0,0
2310,3,26,ARM,3,BOG,25,3,253,1,198,1,8,2,603129000,25,11,U,700,11,10,126,534095,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,603110000,11,11,U,2864,727,712,978,4289539,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,603121000,11,11,U,2532,164,161,866,3799900,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,603141000,11,11,U,1593,94,92,465,2037867,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,603192000,11,11,U,25,9,9,388,1699831,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,603199090,11,11,U,156,47,46,107,470864,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,604900000,11,33,KG,161,164,161,651,2856812,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,6,2,603110000,11,11,U,4325,240,225,1384,5855164,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,6,2,603199090,11,11,U,3340,402,377,1564,6614559,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,6,2,604200000,11,33,KG,169,180,169,931,3939544,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,603110000,11,11,U,13566,750,728,5148,21823550,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,603121000,11,11,U,564,31,30,214,907326,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,603129000,11,11,U,377,21,20,143,606495,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,603141000,11,11,U,1317,73,71,500,2118662,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,603191000,11,11,U,752,42,40,285,1209768,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,603192000,11,11,U,376,21,20,143,604884,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,603199090,11,11,U,29025,1604,1557,11015,46692289,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,604200000,11,33,KG,91,94,91,644,2728336,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,2103302000,11,33,KG,30,39,30,88,361378,0,220,16,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,2103909000,11,33,KG,120,154,120,314,1293545,0,787,59,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,6109901000,11,11,U,24,11,7,388,1636464,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,6203430000,11,11,U,344,68,65,5766,24341041,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,6205300000,11,11,U,75,17,10,2378,10038465,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,6206400000,11,11,U,347,89,85,7476,31559956,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,2,2,8,2,3926909090,11,11,U,41,204,182,205,858337,0,0,0,0
2310,3,27,ABW,3,BOG,11,0,580,1,2,2,8,2,6303920000,11,11,U,8,7,6,18,75985,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,603110000,11,11,U,4591,283,274,1391,6100309,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,603121000,11,11,U,200,12,12,61,265744,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,603129000,11,11,U,998,61,60,302,1326087,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,603141000,11,11,U,798,49,48,242,1060343,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,603191000,11,11,U,600,37,36,182,797232,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,603193000,11,11,U,200,12,12,61,265744,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,603199090,11,11,U,7985,492,477,2419,10610278,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,604200000,11,33,KG,72,74,72,363,1591831,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,3209100000,11,33,KG,225,251,225,3300,13598046,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,6105209000,11,11,U,86,20,19,1444,5950999,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,6106200000,11,11,U,21,5,5,351,1445472,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,6203430000,11,11,U,113,26,25,3389,13963916,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,6204630000,11,11,U,241,55,53,5254,21651509,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,6205300000,11,11,U,60,14,13,1683,6933355,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,6206400000,5,11,U,228,52,50,4975,20501444,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,198,1,8,2,6217100000,11,11,U,12,3,3,55,225233,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,104,2,8,2,4816900000,11,33,KG,52,55,52,582,2468706,0,0,0,0
2310,3,27,ABW,3,BOG,11,9,249,1,104,2,8,2,4821100000,11,33,KG,29,30,29,231,977860,0,0,0,0
2310,3,27,ABW,3,BOG,25,0,580,1,199,1,8,2,3304100000,11,33,KG,42,57,42,2394,10022195,0,0,0,0
2310,3,27,ABW,3,BOG,25,0,580,1,199,1,8,2,3304200000,11,33,KG,37,50,37,1954,8179743,0,0,0,0
2310,3,27,ABW,3,BOG,25,0,580,1,199,1,8,2,3304300000,11,33,KG,311,425,311,6636,27783324,0,0,0,0
2310,3,27,ABW,3,BOG,25,0,580,1,199,1,8,2,3304910000,11,33,KG,144,197,144,6164,25810404,0,0,0,0
2310,3,27,ABW,3,BOG,25,0,580,1,199,1,8,2,3304990000,25,33,KG,17,23,17,1099,4602361,0,0,0,0
2310,3,27,ABW,3,BOG,25,9,239,1,198,1,4,2,6403919000,25,19,2U,325,657,621,15457,63692423,0,0,0,0
2310,3,27,ABW,3,BOG,25,9,239,1,198,1,4,2,6403999000,25,19,2U,21,44,41,567,2336392,0,0,0,0
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603110000,25,11,U,4725,161,84,1542,6687717,0,0,0,0
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603121000,25,11,U,250,7,4,35,146545,0,0,0,0
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603129000,25,11,U,1750,31,16,243,1045087,0,0,0,0
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603141000,25,11,U,2630,106,56,658,2824402,0,0,0,0
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603191000,25,11,U,1660,46,24,498,2147191,0,0,0,0
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603199010,25,11,U,500,115,60,317,1376906,0,0,0,0
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603199090,25,11,U,5437,480,252,2690,11577033,0,0,0,0
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,604200000,25,33,KG,188,355,188,2514,10734050,0,0,0,0
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,702000000,25,33,KG,60,64,60,123,517399,0,175,0,0
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,703100090,25,33,KG,55,59,55,125,525195,0,178,0,0
2310,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,705190000,25,33,KG,168,180,168,367,1546172,0,524,0,0
2310,3,27,ABW,3,BOG,25,9,249,1,199,1,8,2,702000000,25,33,KG,60,64,60,123,526944,0,175,0,0
2310,3,27,ABW,3,BOG,25,9,249,1,199,1,8,2,703100090,25,33,KG,55,59,55,125,535375,0,178,0,0
2310,3,27,ABW,3,BOG,25,9,249,1,199,1,8,2,705190000,25,33,KG,168,179,168,367,1577244,0,524,0,0
2310,3,27,ABW,3,BOG,68,7,27,1,198,1,8,2,2710191500,68,67,M3,389,250057,250057,348102,1508545745,0,0,0,0
2310,3,27,ABW,3,BOG,76,9,249,1,198,1,8,2,8307100000,76,33,KG,474,504,474,3793,16032757,0,0,0,0
2310,3,29,BIH,3,BOG,25,8,618,1,198,1,8,2,604200000,25,33,KG,5,6,5,40,168559,0,0,0,0
2310,3,29,BIH,3,BOG,25,9,169,1,198,1,8,2,603110000,25,11,U,31755,1864,577,8892,37534489,0,0,0,0
2310,3,29,BIH,3,BOG,25,9,169,1,198,1,8,2,603121000,25,11,U,9000,259,80,1080,4559101,0,0,0,0
2310,3,40,AGO,3,BOG,11,3,23,1,104,2,8,2,8479899000,8,11,U,3,305,264,12300,52262615,0,1650,0,0
2310,3,40,AGO,3,BOG,11,5,275,1,104,2,8,2,4016930000,8,11,U,30,0,0,355,1507843,0,59,0,0
2310,3,40,AGO,3,BOG,11,5,275,1,104,2,8,2,6805200000,8,33,KG,10,14,10,300,1273213,0,50,0,0
2310,3,40,AGO,3,BOG,11,5,275,1,104,2,8,2,6805300000,8,33,KG,24,36,24,1455,6183230,0,242,0,0
2310,3,40,AGO,3,BOG,11,5,275,1,104,2,8,2,7415290000,8,33,KG,3,4,3,566,2403659,0,94,0,0
2310,3,53,SAU,3,BOG,5,3,23,1,198,1,8,2,603199010,5,11,U,920,137,114,767,3241563,0,861,0,0
2310,3,53,SAU,3,BOG,5,3,253,1,198,1,8,2,603199010,5,11,U,8772,1341,1206,5875,24801764,0,0,0,0
2310,3,53,SAU,3,BOG,5,8,618,1,198,1,8,2,603199010,5,11,U,11948,1969,1711,9419,40272654,0,3882,0,0
2310,3,53,SAU,3,BOG,5,8,618,1,198,1,8,2,604200000,5,33,KG,10,10,10,138,601597,0,158,0,0
2310,3,53,SAU,3,BOG,5,9,249,1,198,1,8,2,603199010,5,11,U,962,148,144,366,1593622,0,1573,0,0
2310,3,53,SAU,3,BOG,5,9,249,1,198,1,8,2,804200000,5,33,KG,30,36,30,121,512750,0,149,0,0
2310,3,53,SAU,3,BOG,5,9,249,1,198,1,8,2,810901010,5,33,KG,20,24,20,118,500058,0,145,0,0
